FULL_STUDENT_NAME,Exam_ID,St_ID,Final_RESULT
Sherif Mansour,613,53,50
Esraa Elsayed,69,54,30
Esraa Elsayed,122,54,40.91
Menna Kamel,216,55,40.91
Menna Kamel,544,55,30
Menna Kamel,1097,55,38.89
Karim Samir,154,56,33.33
Karim Samir,186,56,33.33
Karim Samir,353,56,37.5
Ali Elmasry,470,57,29.17
Ali Elmasry,741,57,38.89
Youssef Kamel,187,58,29.17
Youssef Kamel,541,58,40.91
Youssef Kamel,566,58,50
Hassan Elsayed,556,59,33.33
Hassan Elsayed,1457,59,45.45
Hassan Elsayed,1459,59,30
Youssef Elmasry,74,60,40.91
Youssef Elmasry,759,60,36.36
Sherif Mansour,283,61,45.45
Sherif Mansour,1116,61,33.33
Sherif Mansour,1372,61,33.33
Menna Ali,306,62,31.82
Ahmed Fouad,570,63,33.33
Ahmed Fouad,1168,63,45.83
Ahmed Fouad,1204,63,44.44
Mariam Tawfik,95,64,45
Mariam Tawfik,504,64,35
Amr Fahmy,266,65,45.45
Amr Fahmy,488,65,33.33
Amr Fahmy,574,65,41.67
Amr Hassan,702,66,22.73
Amr Hassan,1348,66,40
Amr Hassan,1419,66,37.5
Menna Samir,28,67,45
Menna Samir,161,67,33.33
Menna Samir,1428,67,30
Hassan Elmasry,126,68,33.33
Hassan Elmasry,1117,68,35
Fatima Khalifa,866,69,30
Aya Fouad,892,70,50
Aya Fouad,1038,70,44.44
Hana Ali,20,71,37.5
Hana Ali,882,71,36.36
Hana Ali,1156,71,40.91
Habiba Hassan,811,72,38.89
Habiba Hassan,1226,72,25
Hassan Elsayed,919,73,41.67
Hassan Elsayed,1395,73,40
Esraa Fahmy,285,74,44.44
Esraa Fahmy,639,74,45
Esraa Fahmy,1344,74,37.5
Nour Elsayed,114,75,31.82
Nour Elsayed,1495,75,25
Khaled Fouad,273,76,36.36
Nour Samir,976,77,37.5
Nour Samir,1066,77,35
Fatima Gamal,44,78,38.89
Fatima Gamal,50,78,27.78
Fatima Gamal,565,78,50
Hana Elmasry,661,79,33.33
Hana Elmasry,913,79,29.17
Hana Elmasry,1420,79,45.83
Nour Gamal,1186,80,44.44
Youssef Tawfik,318,81,27.78
Mahmoud Ali,499,82,36.36
Nour Shalaby,52,83,31.82
Nour Shalaby,825,83,33.33
Nour Shalaby,1177,83,33.33
Mahmoud Fahmy,487,84,50
Mahmoud Fahmy,1124,84,50
Mahmoud Fahmy,1163,84,44.44
Salma Mahmoud,200,85,41.67
Salma Mahmoud,432,85,44.44
Salma Mahmoud,726,85,33.33
Sherif Samir,313,86,40.91
Sherif Samir,379,86,41.67
Sherif Samir,1218,86,29.17
Mostafa Hassan,108,87,45
Mostafa Hassan,262,87,45
Mostafa Hassan,1500,87,41.67
Hana Ali,605,88,41.67
Hassan Khalifa,627,89,40
Hassan Khalifa,1181,89,29.17
Sara Ali,57,90,45
Sara Ali,1016,90,41.67
Sara Ali,1146,90,31.82
Walid Mahmoud,125,91,33.33
Fatima Mansour,402,92,38.89
Fatima Mansour,575,92,36.36
Fatima Mansour,637,92,41.67
Esraa Adel,421,93,41.67
Esraa Adel,779,93,30
Sherif Mansour,1142,94,37.5
Nour Gamal,549,95,27.27
Nour Gamal,693,95,36.36
Nour Gamal,780,95,44.44
Amr Tawfik,770,96,44.44
Amr Tawfik,808,96,37.5
Amr Tawfik,899,96,41.67
Sara Kamel,876,97,35
Sara Kamel,1423,97,40
Walid Ali,169,98,35
Walid Ali,751,98,44.44
Walid Ali,1255,98,33.33
Karim Shalaby,117,99,44.44
Karim Shalaby,1161,99,35
Karim Shalaby,1391,99,45
Mahmoud Khalifa,1103,100,36.36
Malak Elsayed,76,101,50
Malak Elsayed,398,101,33.33
Malak Elsayed,847,101,22.22
Ali Hassan,239,102,36.36
Yara Fouad,504,103,40
Aya Samir,463,104,37.5
Aya Samir,530,104,29.17
Aya Samir,803,104,40
Esraa Tawfik,1057,105,40
Esraa Samir,1459,106,25
Sara Hassan,645,107,50
Omar Mahmoud,597,108,45.45
Omar Mahmoud,686,108,40
Omar Mahmoud,1455,108,45.45
Farah Elsayed,49,109,25
Farah Elsayed,882,109,36.36
Farah Elsayed,1330,109,33.33
Mahmoud Fahmy,597,110,45.45
Mahmoud Fahmy,629,110,33.33
Walid Fahmy,484,111,37.5
Walid Fahmy,1232,111,33.33
Walid Fahmy,1440,111,33.33
Farah Fouad,429,112,31.82
Farah Fouad,1054,112,13.64
Khaled Khalifa,565,113,45
Ahmed Fouad,411,114,41.67
Ahmed Elmasry,248,115,35
Ahmed Elmasry,976,115,29.17
Youssef Mahmoud,420,116,50
Youssef Mahmoud,1358,116,45.45
Esraa Khalifa,1050,117,50
Esraa Khalifa,1067,117,33.33
Hassan Mahmoud,414,118,40
Hassan Mahmoud,1331,118,33.33
Hassan Mahmoud,1419,118,37.5
Mahmoud Fouad,119,119,35
Mahmoud Fouad,856,119,40.91
Mahmoud Fouad,1137,119,35
Farah Gamal,421,120,37.5
Farah Gamal,1378,120,44.44
Farah Gamal,1386,120,29.17
Sara Fahmy,791,121,45
Menna Samir,1252,122,44.44
Menna Samir,1492,122,40
Karim Khalifa,425,123,37.5
Karim Khalifa,708,123,41.67
Ahmed Mahmoud,66,124,27.27
Ahmed Mahmoud,945,124,40.91
Ahmed Mahmoud,1452,124,36.36
Hassan Elmasry,505,125,33.33
Hassan Elmasry,1011,125,33.33
Hassan Elmasry,1098,125,38.89
Ibrahim Hassan,774,126,37.5
Ibrahim Hassan,947,126,29.17
Ibrahim Hassan,1385,126,40
Hassan Elsayed,164,127,30
Hassan Elsayed,1256,127,30
Sherif Ali,478,128,44.44
Malak Adel,1125,129,31.82
Karim Shalaby,183,130,41.67
Karim Shalaby,781,130,35
Karim Shalaby,1321,130,36.36
Sherif Fahmy,1017,131,30
Sherif Fahmy,1179,131,33.33
Sherif Fahmy,1393,131,45
Yara Shalaby,850,132,41.67
Yara Shalaby,952,132,37.5
Yara Shalaby,1142,132,41.67
Nada Fahmy,129,133,44.44
Nada Fahmy,1448,133,45.45
Mohamed Elmasry,875,134,44.44
Nour Hassan,14,135,45
Fatima Kamel,533,136,40
Farah Adel,470,137,37.5
Farah Adel,1263,137,30
Yara Mansour,453,138,37.5
Yara Mansour,802,138,33.33
Yara Mansour,1285,138,31.82
Sherif Samir,86,139,40
Sherif Samir,966,139,33.33
Hana Samir,581,140,50
Hana Samir,915,140,45
Salma Khalifa,236,141,35
Jana Adel,26,142,40.91
Jana Adel,71,142,45.83
Menna Ali,132,143,45.45
Menna Ali,187,143,45.83
Menna Ali,654,143,31.82
Mohamed Hassan,644,144,33.33
Mohamed Hassan,702,144,40.91
Mohamed Hassan,799,144,45.45
Karim Kamel,840,145,41.67
Khaled Elsayed,11,146,36.36
Khaled Elsayed,43,146,45
Khaled Elsayed,1419,146,50
Tarek Mansour,112,147,18.18
Tarek Mansour,989,147,30
Ahmed Tawfik,837,148,44.44
Karim Ali,43,149,40
Karim Ali,109,149,35
Karim Ali,872,149,40.91
Sherif Kamel,531,150,36.36
Sherif Kamel,1439,150,36.36
Ahmed Fouad,220,151,30
Ahmed Fouad,894,151,33.33
Malak Elmasry,610,152,40.91
Malak Elmasry,1096,152,33.33
Farah Hassan,430,153,25
Farah Hassan,1336,153,44.44
Yara Elmasry,1177,154,37.5
Yara Elmasry,1453,154,36.36
Farah Tawfik,690,155,36.36
Farah Tawfik,1333,155,45
Mariam Shalaby,417,156,30
Mariam Shalaby,1362,156,41.67
Karim Khalifa,468,157,36.36
Karim Khalifa,799,157,27.27
Salma Gamal,56,158,33.33
Salma Gamal,876,158,25
Salma Kamel,223,159,45.83
Salma Kamel,322,159,38.89
Salma Kamel,370,159,27.78
Hassan Fouad,778,160,25
Hassan Fouad,1068,160,31.82
Hassan Fouad,1405,160,40
Sherif Ali,245,161,50
Sherif Ali,1104,161,36.36
Sherif Ali,1324,161,36.36
Malak Samir,216,162,40.91
Malak Samir,532,162,38.89
Malak Samir,925,162,40
Sherif Shalaby,1009,163,25
Fatima Ali,7,164,41.67
Fatima Ali,35,164,40.91
Fatima Ali,270,164,44.44
Hassan Kamel,412,165,25
Hassan Kamel,828,165,40
Hassan Kamel,1412,165,50
Nour Kamel,1212,166,25
Karim Mahmoud,63,167,38.89
Nour Adel,299,168,50
Nour Adel,817,168,35
Nada Fouad,242,169,25
Khaled Samir,93,170,44.44
Khaled Samir,425,170,41.67
Khaled Samir,1366,170,33.33
Sara Elmasry,790,171,22.22
Sara Elmasry,1208,171,44.44
Sara Adel,599,172,27.27
Sara Adel,821,172,25
Aya Mansour,191,173,36.36
Aya Mansour,1144,173,45.83
Aya Mansour,1260,173,22.22
Ali Adel,198,174,37.5
Ali Adel,797,174,38.89
Ali Adel,1180,174,45.83
Nada Samir,876,175,25
Nada Samir,1219,175,40.91
Nada Samir,1315,175,38.89
Sara Ali,384,176,40
Hana Elmasry,145,177,45
Sherif Khalifa,927,178,40
Youssef Samir,635,179,33.33
Fatima Samir,749,180,45
Fatima Samir,1451,180,31.82
Fatima Samir,1467,180,45.83
Youssef Gamal,574,181,33.33
Youssef Gamal,1146,181,45.45
Menna Samir,437,182,33.33
Hassan Elmasry,28,183,35
Hassan Elmasry,393,183,41.67
Hassan Elmasry,1214,183,35
Ahmed Mansour,1445,184,38.89
Yara Elmasry,1181,185,45.83
Aya Elmasry,194,186,37.5
Fatima Gamal,394,187,35
Walid Ali,440,188,30
Walid Ali,842,188,29.17
Walid Ali,1277,188,33.33
Mahmoud Mahmoud,380,189,36.36
Mahmoud Mahmoud,1210,189,40
Nada Fahmy,1011,190,27.78
Nada Fahmy,1246,190,35
Menna Mansour,346,191,25
Menna Mansour,1455,191,45.45
Amr Gamal,499,192,27.27
Amr Gamal,599,192,40.91
Amr Gamal,1347,192,35
Khaled Mahmoud,608,193,38.89
Khaled Mahmoud,718,193,30
Khaled Mahmoud,843,193,40
Aya Tawfik,583,194,44.44
Aya Tawfik,866,194,40
Aya Tawfik,1455,194,31.82
Youssef Hassan,978,195,40.91
Youssef Hassan,1468,195,37.5
Yara Shalaby,866,196,35
Yara Shalaby,1011,196,44.44
Yara Shalaby,1054,196,36.36
Yara Ali,849,197,36.36
Menna Adel,537,198,45.45
Menna Adel,704,198,45
Menna Adel,753,198,44.44
Amr Adel,10,199,41.67
Salma Fahmy,227,200,40
Salma Fahmy,1221,200,33.33
Sara Ali,342,201,33.33
Sara Ali,507,201,40
Sara Ali,838,201,40
Hassan Tawfik,66,202,40.91
Hassan Tawfik,785,202,37.5
Hassan Tawfik,936,202,45
Mostafa Gamal,146,203,40.91
Mostafa Gamal,182,203,31.82
Mostafa Gamal,184,203,29.17
Malak Hassan,574,204,29.17
Malak Hassan,670,204,41.67
Nada Tawfik,170,205,37.5
Nada Tawfik,641,205,27.27
Ali Elmasry,254,206,33.33
Ali Elmasry,347,206,33.33
Ali Elmasry,595,206,20.83
Farah Ali,950,207,31.82
Farah Ali,1196,207,44.44
Farah Ali,1368,207,45.83
Ibrahim Tawfik,131,208,44.44
Ibrahim Tawfik,974,208,50
Yara Fouad,166,209,35
Mohamed Shalaby,462,210,22.22
Mohamed Shalaby,1466,210,37.5
Ibrahim Mansour,460,211,29.17
Ibrahim Mansour,1377,211,38.89
Aya Mansour,680,212,40
Khaled Tawfik,751,213,27.78
Khaled Tawfik,1264,213,40.91
Salma Shalaby,726,214,44.44
Nada Samir,561,215,40.91
Nada Samir,1122,215,50
Nada Samir,1359,215,44.44
Yara Gamal,677,216,40.91
Yara Gamal,1069,216,45.45
Hassan Elsayed,33,217,35
Yara Hassan,967,218,45.45
Yara Hassan,1477,218,40.91
Nada Shalaby,344,219,41.67
Nada Shalaby,445,219,45.45
Amr Fouad,349,220,31.82
Amr Fouad,1151,220,45.45
Sherif Adel,31,221,35
Ahmed Gamal,1441,222,33.33
Mohamed Elmasry,110,223,40
Mohamed Elmasry,354,223,30
Mohamed Elmasry,1205,223,45
Walid Hassan,595,224,37.5
Walid Hassan,705,224,31.82
Nada Elmasry,457,225,35
Nada Shalaby,743,226,50
Salma Fouad,547,227,37.5
Ahmed Elmasry,105,228,35
Ahmed Elmasry,373,228,41.67
Ahmed Elmasry,833,228,33.33
Ibrahim Kamel,178,229,50
Ibrahim Kamel,814,229,45
Mostafa Gamal,19,230,44.44
Mostafa Gamal,454,230,35
Esraa Tawfik,50,231,38.89
Esraa Tawfik,1066,231,30
Farah Adel,96,232,44.44
Farah Adel,968,232,45.83
Farah Adel,1455,232,31.82
Amr Samir,929,233,33.33
Amr Samir,1009,233,25
Amr Samir,1331,233,25
Nour Ali,873,234,45
Yara Samir,431,235,31.82
Yara Samir,1352,235,33.33
Sara Khalifa,465,236,50
Yara Samir,680,237,50
Habiba Elsayed,467,238,33.33
Habiba Elsayed,1005,238,27.27
Tarek Fouad,1179,239,50
Tarek Fouad,1325,239,40
Mostafa Khalifa,52,240,18.18
Mostafa Khalifa,109,240,40
Mostafa Khalifa,708,240,25
Mostafa Shalaby,12,241,41.67
Mostafa Shalaby,280,241,41.67
Mostafa Shalaby,1378,241,27.78
Aya Tawfik,196,242,35
Aya Tawfik,401,242,37.5
Tarek Khalifa,171,243,45
Mohamed Khalifa,602,244,41.67
Mohamed Khalifa,1364,244,29.17
Menna Shalaby,178,245,35
Menna Shalaby,1141,245,27.27
Menna Shalaby,1403,245,45.45
Mohamed Elmasry,8,246,38.89
Mohamed Elmasry,448,246,45.45
Mohamed Elmasry,923,246,33.33
Karim Tawfik,363,247,45.45
Karim Tawfik,1069,247,31.82
Ahmed Fouad,1022,248,36.36
Jana Shalaby,1217,249,25
Walid Tawfik,390,250,25
Walid Tawfik,1436,250,35
Yara Elmasry,35,251,40.91
Yara Elmasry,1144,251,33.33
Yara Elmasry,1376,251,35
Ibrahim Kamel,859,252,38.89
Ibrahim Kamel,1237,252,27.27
Malak Mansour,203,253,44.44
Malak Mansour,271,253,35
Nour Fahmy,623,254,45
Nour Fahmy,793,254,33.33
Mostafa Hassan,874,255,38.89
Omar Kamel,352,256,45.83
Omar Kamel,537,256,31.82
Jana Fouad,456,257,40
Jana Fouad,494,257,33.33
Jana Fouad,668,257,33.33
Habiba Samir,255,258,44.44
Habiba Samir,729,258,40
Habiba Samir,813,258,40
Sherif Kamel,343,259,41.67
Sherif Kamel,563,259,45
Esraa Mansour,287,260,31.82
Nour Fouad,145,261,30
Mariam Fahmy,239,262,40.91
Mariam Fahmy,1422,262,33.33
Aya Samir,1219,263,18.18
Ali Khalifa,918,264,35
Ali Khalifa,1241,264,40.91
Hana Khalifa,24,265,36.36
Hana Khalifa,1017,265,40
Hana Khalifa,1389,265,33.33
Jana Adel,798,266,27.78
Nada Khalifa,994,267,33.33
Nada Khalifa,1169,267,44.44
Nada Khalifa,1336,267,33.33
Farah Elmasry,496,268,36.36
Farah Elmasry,1021,268,36.36
Farah Elmasry,1379,268,33.33
Nada Tawfik,35,269,27.27
Nada Tawfik,499,269,40.91
Menna Ali,939,270,37.5
Amr Hassan,1164,271,38.89
Karim Elsayed,211,272,33.33
Hana Fouad,347,273,29.17
Ahmed Hassan,491,274,22.73
Ahmed Hassan,663,274,27.27
Ahmed Hassan,1410,274,37.5
Yara Kamel,330,275,38.89
Yara Kamel,1453,275,45.45
Malak Shalaby,325,276,27.27
Malak Shalaby,477,276,40.91
Malak Shalaby,479,276,41.67
Nada Fouad,340,277,27.78
Nada Fouad,695,277,33.33
Omar Elmasry,161,278,50
Omar Elmasry,835,278,50
Youssef Elmasry,435,279,45.45
Youssef Elmasry,1184,279,27.27
Sherif Gamal,1235,280,29.17
Karim Elmasry,35,281,36.36
Karim Elmasry,958,281,50
Karim Elmasry,1350,281,45
Salma Mahmoud,392,282,45.83
Hana Mahmoud,902,283,40.91
Mostafa Mansour,264,284,38.89
Mostafa Mansour,584,284,37.5
Mostafa Mansour,1319,284,27.78
Omar Khalifa,859,285,33.33
Omar Khalifa,1395,285,35
Omar Khalifa,1433,285,41.67
Salma Fahmy,697,286,45
Salma Fahmy,991,286,35
Salma Fahmy,1086,286,45.45
Yara Tawfik,942,287,38.89
Salma Shalaby,179,288,50
Salma Shalaby,667,288,45
Salma Shalaby,1189,288,33.33
Ali Elsayed,1239,289,36.36
Ali Elsayed,1266,289,27.78
Ahmed Hassan,132,290,31.82
Ahmed Hassan,165,290,45.45
Ahmed Hassan,675,290,45.83
Ali Fahmy,696,291,40.91
Ali Fahmy,920,291,38.89
Ali Fahmy,1214,291,45
Karim Fahmy,9,292,41.67
Fatima Khalifa,151,293,41.67
Fatima Khalifa,573,293,36.36
Fatima Khalifa,1387,293,38.89
Esraa Elsayed,320,294,33.33
Menna Mahmoud,381,295,38.89
Menna Mahmoud,1395,295,40
Menna Samir,1287,296,45.45
Mostafa Elsayed,1227,297,36.36
Mariam Elsayed,292,298,45.83
Menna Mahmoud,408,299,50
Menna Mahmoud,547,299,41.67
Menna Mahmoud,807,299,40
Walid Hassan,914,300,27.27
Walid Hassan,976,300,41.67
Walid Hassan,1473,300,20.83
Ali Samir,259,301,41.67
Ali Samir,1240,301,40
Mostafa Elsayed,179,302,45
Mostafa Elsayed,386,302,40
Mostafa Elsayed,601,302,36.36
Habiba Ali,155,303,33.33
Habiba Ali,616,303,40
Karim Gamal,590,304,27.78
Karim Gamal,1019,304,40.91
Karim Gamal,1390,304,44.44
Mostafa Adel,59,305,41.67
Mostafa Adel,532,305,50
Mostafa Samir,349,306,31.82
Mostafa Samir,791,306,40
Nour Kamel,1052,307,33.33
Nour Kamel,1068,307,36.36
Nour Kamel,1152,307,45
Fatima Elmasry,655,308,40
Fatima Elmasry,1265,308,44.44
Mahmoud Mahmoud,23,309,41.67
Mahmoud Mahmoud,688,309,36.36
Farah Elsayed,582,310,40
Karim Ali,182,311,40.91
Karim Ali,323,311,40.91
Karim Ali,977,311,31.82
Menna Khalifa,809,312,38.89
Menna Khalifa,904,312,33.33
Menna Khalifa,1078,312,45
Ibrahim Mansour,229,313,38.89
Ibrahim Mansour,1040,313,41.67
Ibrahim Mansour,1373,313,37.5
Malak Elmasry,117,314,38.89
Malak Elmasry,237,314,38.89
Malak Elmasry,968,314,41.67
Sherif Kamel,1366,315,37.5
Mohamed Samir,669,316,44.44
Mohamed Samir,687,316,31.82
Mohamed Samir,1054,316,40.91
Walid Tawfik,426,317,40.91
Walid Tawfik,899,317,33.33
Walid Tawfik,1142,317,33.33
Ibrahim Khalifa,1008,318,20
Ibrahim Khalifa,1203,318,45
Ibrahim Khalifa,1388,318,38.89
Mahmoud Gamal,724,319,45
Mahmoud Gamal,735,319,36.36
Mahmoud Gamal,1414,319,45.83
Aya Fouad,961,320,35
Aya Fouad,1197,320,25
Mariam Elmasry,310,321,35
Mariam Elmasry,532,321,44.44
Mariam Elmasry,1162,321,35
Ahmed Mansour,752,322,38.89
Sara Elmasry,629,323,38.89
Sara Elmasry,1068,323,31.82
Sara Elmasry,1166,323,45.83
Sara Adel,507,324,40
Sara Adel,1234,324,31.82
Sara Adel,1438,324,45
Mostafa Kamel,1073,325,33.33
Yara Hassan,132,326,40.91
Yara Hassan,643,326,37.5
Yara Hassan,952,326,37.5
Ali Ali,252,327,45
Ali Ali,755,327,36.36
Ali Ali,1303,327,45.83
Ibrahim Mahmoud,350,328,40.91
Nada Samir,826,329,38.89
Aya Tawfik,1284,330,33.33
Karim Ali,512,331,37.5
Karim Ali,1392,331,40.91
Mostafa Gamal,810,332,45.45
Mostafa Gamal,1276,332,45.45
Mostafa Gamal,1335,332,25
Mahmoud Ali,1295,333,30
Menna Kamel,1378,334,38.89
Nada Khalifa,220,335,40
Walid Khalifa,129,336,33.33
Walid Khalifa,764,336,38.89
Walid Khalifa,1072,336,22.22
Omar Ali,1246,337,35
Omar Ali,1259,337,29.17
Omar Adel,366,338,33.33
Omar Adel,681,338,50
Omar Adel,912,338,35
Sara Tawfik,1040,339,29.17
Sara Tawfik,1094,339,40.91
Walid Gamal,173,340,40
Walid Gamal,819,340,27.27
Walid Gamal,1353,340,35
Mariam Mansour,55,341,33.33
Mariam Mansour,918,341,20
Mariam Mansour,935,341,40
Amr Adel,123,342,31.82
Amr Adel,489,342,33.33
Amr Adel,956,342,45.83
Walid Kamel,1440,343,37.5
Hassan Mahmoud,99,344,22.22
Hassan Mahmoud,718,344,35
Ibrahim Shalaby,903,345,45.83
Khaled Fouad,883,346,33.33
Omar Khalifa,243,347,41.67
Omar Khalifa,439,347,40
Omar Khalifa,663,347,36.36
Khaled Gamal,1108,348,27.78
Khaled Gamal,1433,348,37.5
Mahmoud Samir,206,349,33.33
Mahmoud Samir,1383,349,27.27
Omar Hassan,407,350,38.89
Tarek Hassan,170,351,33.33
Tarek Hassan,1112,351,41.67
Aya Samir,75,352,31.82
Jana Fouad,33,353,35
Esraa Kamel,6,354,27.27
Esraa Kamel,677,354,40.91
Esraa Kamel,1431,354,33.33
Fatima Shalaby,35,355,45.45
Fatima Shalaby,856,355,40.91
Salma Mansour,402,356,27.78
Salma Mansour,449,356,45.45
Salma Mansour,1282,356,41.67
Sara Mansour,85,357,22.22
Sara Mansour,603,357,45.45
Sherif Fouad,514,358,40
Ibrahim Adel,938,359,29.17
Salma Kamel,540,360,35
Salma Kamel,1056,360,30
Aya Adel,297,361,36.36
Aya Adel,361,361,44.44
Sara Samir,961,362,30
Farah Gamal,201,363,41.67
Mariam Mahmoud,284,364,30
Mariam Mahmoud,1330,364,44.44
Salma Khalifa,259,365,33.33
Salma Khalifa,286,365,33.33
Salma Khalifa,593,365,27.27
Mohamed Shalaby,1287,366,40.91
Salma Mansour,479,367,41.67
Salma Mansour,887,367,29.17
Jana Mansour,208,368,40.91
Jana Mansour,293,368,35
Ibrahim Kamel,309,369,40
Ibrahim Kamel,892,369,33.33
Ibrahim Kamel,1290,369,31.82
Khaled Adel,203,370,50
Khaled Adel,493,370,40.91
Khaled Adel,505,370,38.89
Ali Fouad,330,371,22.22
Salma Gamal,613,372,33.33
Fatima Elmasry,1410,373,41.67
Habiba Fahmy,495,374,40
Habiba Fahmy,1091,374,22.22
Habiba Fahmy,1264,374,40.91
Mariam Hassan,445,375,40.91
Mariam Hassan,1184,375,40.91
Mariam Hassan,1370,375,36.36
Aya Ali,814,376,30
Aya Ali,1243,376,22.73
Menna Kamel,1041,377,31.82
Ahmed Tawfik,55,378,27.78
Ahmed Tawfik,149,378,50
Walid Shalaby,1433,379,45.83
Yara Mansour,621,380,36.36
Hassan Samir,201,381,45.83
Omar Khalifa,593,382,40.91
Omar Khalifa,828,382,35
Omar Khalifa,959,382,36.36
Jana Samir,200,383,41.67
Jana Samir,746,383,41.67
Jana Samir,1089,383,37.5
Tarek Hassan,961,384,40
Tarek Hassan,1012,384,37.5
Tarek Hassan,1185,384,31.82
Tarek Mahmoud,306,385,40.91
Tarek Mahmoud,595,385,41.67
Fatima Shalaby,36,386,37.5
Fatima Shalaby,1202,386,33.33
Jana Mansour,183,387,33.33
Jana Mansour,1105,387,41.67
Jana Mansour,1476,387,40
Tarek Elmasry,754,388,27.27
Tarek Elmasry,1196,388,27.78
Tarek Elmasry,1224,388,36.36
Mohamed Shalaby,386,389,50
Mohamed Shalaby,516,389,33.33
Farah Adel,1054,390,40.91
Amr Ali,23,391,33.33
Mostafa Shalaby,172,392,36.36
Mostafa Shalaby,378,392,40
Mostafa Shalaby,1125,392,36.36
Mostafa Shalaby,215,393,44.44
Mostafa Shalaby,929,393,33.33
Mostafa Shalaby,1334,393,45
Ali Mahmoud,67,394,36.36
Ali Mahmoud,1098,394,33.33
Mariam Shalaby,766,395,37.5
Mariam Shalaby,897,395,36.36
Mahmoud Gamal,223,396,41.67
Mahmoud Gamal,851,396,45
Mahmoud Gamal,1127,396,45.83
Nour Fahmy,680,397,35
Esraa Ali,702,398,40.91
Youssef Ali,43,399,40
Youssef Ali,52,399,45.45
